id;titulo;autor;categoria;ano;paginas
1;Clean Code;Robert Martin;Programação;2008;464
2;Código Limpo na Prática;Mauricio Aniche;Programação;2019;320
3;Engenharia de Software;Ian Sommerville;Engenharia;2018;720
4;Use a Cabeça Java;Kathy Sierra;Programação;2005;688
5;Banco de Dados;Ramez Elmasri;Banco de Dados;2019;850
6;Design Patterns;Erich Gamma;Programação;1994;395
7;Refactoring;Martin Fowler;Programação;2018;448
8;Estruturas de Dados;Thomas Cormen;Programação;2009;650
9;Algoritmos Essenciais;Robert Sedgewick;Programação;2011;550
10;Sistemas Operacionais;Andrew Tanenbaum;Engenharia;2015;900
11;Redes de Computadores;Andrew Tanenbaum;Redes;2012;850
12;Arquitetura de Software;Robert Martin;Engenharia;2017;500
13;Testes de Software;Mauricio Aniche;Programação;2020;310
14;Desenvolvimento Web com PHP;Rodrigo Branas;Web;2016;420
15;Desenvolvimento Web com Java;Joshua Bloch;Web;2014;600
16;Python para Data Science;Wes McKinney;Data Science;2018;480
17;Machine Learning Básico;Andrew Ng;IA;2020;350
18;Deep Learning Introdução;Ian Goodfellow;IA;2021;500
19;Java para Iniciantes;Kathy Sierra;Programação;2006;620
20;C++ Avançado;Bjarne Stroustrup;Programação;2013;700
21;JavaScript Essencial;Douglas Crockford;Web;2015;300
22;Node.js na Prática;Ryan Dahl;Web;2019;280
23;Laravel Framework;Taylor Otwell;Web;2020;400
24;Django Web;Adrian Holovaty;Web;2017;420
25;Spring Boot;Josh Long;Web;2021;380
26;Microsserviços;Sam Newman;Engenharia;2019;450
27;Docker e Kubernetes;Kelsey Hightower;DevOps;2022;390
28;Git e GitHub;Scott Chacon;DevOps;2014;250
29;Segurança da Informação;William Stallings;Segurança;2016;600
30;Criptografia Moderna;Bruce Schneier;Segurança;2018;500
31;Computação em Nuvem;Thomas Erl;DevOps;2020;520
32;AWS Fundamentals;Amazon Web Services;DevOps;2021;350
33;Azure Básico;Microsoft;DevOps;2020;340
34;Linux para Desenvolvedores;Linus Torvalds;DevOps;2015;450
35;UX Design;Don Norman;Design;2013;320
36;UI Design;Steve Krug;Design;2012;280
37;Mobile Android;Google;Mobile;2019;500
38;Flutter na Prática;Google;Mobile;2021;420
39;React do Zero;Meta;Web;2022;360
40;Vue.js Essencial;Evan You;Web;2021;340
41;Data Science Aplicada;Joel Grus;Data Science;2019;410
42;Big Data Essentials;Viktor Mayer;Data Science;2018;480
43;Inteligência Artificial Moderna;Stuart Russell;IA;2020;530
44;Compiladores;Alfred Aho;Engenharia;2010;700
45;Sistemas Distribuídos;George Coulouris;Engenharia;2015;650
46;Clean Architecture;Robert Martin;Programação;2017;450
47;Código Limpo Avançado;Mauricio Aniche;Programação;2021;330
48;Programação Funcional;Paul Chiusano;Programação;2014;420
49;Python Avançado;Luciano Ramalho;Programação;2019;480
50;Java Avançado;Joshua Bloch;Programação;2018;500
51;Arquitetura Moderna de Sistemas;Martin Fowler;Engenharia;2020;510
52;Banco de Dados Relacional;Elmasri;Banco de Dados;2017;700
53;SQL Essencial;Alan Beaulieu;Banco de Dados;2016;350
54;NoSQL na Prática;Dan Pritchett;Banco de Dados;2019;400
55;MongoDB Essencial;Kristina Chodorow;Banco de Dados;2018;320
56;Redis em Ação;Josiah Carlson;Banco de Dados;2020;300
57;Estruturas Avançadas;Cormen;Programação;2012;600
58;Algoritmos em Java;Robert Lafore;Programação;2011;550
59;Algoritmos em Python;Magnus Lie Hetland;Programação;2015;480
